Population,Replicate,Treatment,Species,Group,Tray,Position,Elevation,Latitude,Longitude,germ_date,transplant date,first_flower,flowering_time,hgt_first_flower,flowers_10days,time pollen collection,# flowers for pollen,successful_self,total_self,viable_pollen,total_pollen,Notes
OBJ,4,C,minor,tilingii,2,3,2739,38.912505,-107.032161,14-Jun,16-Jun,14-Jul,30,89.8,21,,2,5,5,97,100,
OBJ,5,C,minor,tilingii,3,7,2739,38.912505,-107.032161,14-Jun,16-Jun,13-Jul,29,89.2,19,,2,5,5,67,70,
OBJ,6,C,minor,tilingii,5,16,2739,38.912505,-107.032161,14-Jun,3-Jul,30-Jul,46,125.4,9,,2,5,5,91,100,
OBJ,7,C,minor,tilingii,1,2,2739,38.912505,-107.032161,14-Jun,16-Jun,16-Jul,32,83.2,20,,2,5,5,98,100,
OBJ,8,C,minor,tilingii,8,1,2739,38.912505,-107.032161,14-Jun,16-Jun,23-Jul,39,112.3,39,,2,4,5,99,100,
OBJ,9,C,minor,tilingii,5,13,2739,38.912505,-107.032161,14-Jun,16-Jun,25-Jul,41,132.9,10,,2,5,5,78,80,
OBJ,1,H,minor,tilingii,16,5,2739,38.912505,-107.032161,14-Jun,16-Jun,13-Jul,29,79.2,12,,2,2,5,62,100,
OBJ,2,H,minor,tilingii,9,4,2739,38.912505,-107.032161,14-Jun,16-Jun,17-Jul,34,115.5,18,,2,0,5,91,100,
OBJ,3,H,minor,tilingii,14,16,2739,38.912505,-107.032161,14-Jun,16-Jun,12-Jul,28,54.2,14,,2,3,5,92,100,
OBJ,4,H,minor,tilingii,11,15,2739,38.912505,-107.032161,14-Jun,16-Jun,15-Jul,31,87.5,12,,2,4,5,70,100,
OBJ,5,H,minor,tilingii,16,17,2739,38.912505,-107.032161,14-Jun,16-Jun,12-Jul,28,91.3,17,,2,3,5,77,100,
